date,confirmed,vaccines,people_vaccinated,people_fully_vaccinated,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,contact_tracing,facial_coverings
21-03-2020,330,0,NA,NA,3,-3,-2,-4,-2,-1,-2,3,2,2,0
22-03-2020,396,0,NA,NA,3,3,2,4,2,3,2,4,2,2,0
23-03-2020,499,0,NA,NA,3,-3,-2,-4,-2,-3,-2,4,2,2,0
24-03-2020,536,0,NA,NA,3,-3,-2,-4,-2,-3,-2,4,2,2,0
25-03-2020,657,0,NA,NA,3,3,2,4,2,3,2,4,2,2,0
26-03-2020,727,0,NA,NA,3,3,2,4,2,3,2,4,2,2,0
27-03-2020,887,0,NA,NA,3,3,2,4,2,3,2,4,2,2,0
28-03-2020,987,0,NA,NA,3,3,2,4,2,3,2,4,2,2,0
29-03-2020,1024,0,NA,NA,3,3,2,4,2,3,2,4,2,2,0
30-03-2020,1251,0,NA,NA,3,3,2,4,2,3,2,4,2,2,0
31-03-2020,1397,0,NA,NA,3,3,2,4,2,3,2,4,2,2,0
01-04-2020,1998,0,NA,NA,3,3,2,4,2,3,2,4,2,2,0
02-04-2020,2543,0,NA,NA,3,3,2,4,2,3,2,4,2,2,1
03-04-2020,2567,0,NA,NA,3,3,2,4,2,3,2,4,2,2,1
04-04-2020,3082,0,NA,NA,3,3,2,4,2,3,2,4,2,2,1
05-04-2020,3588,0,NA,NA,3,3,2,4,2,3,2,4,2,2,1
06-04-2020,4778,0,NA,NA,3,3,2,4,2,3,2,4,2,2,1
07-04-2020,5311,0,NA,NA,3,3,2,4,2,3,2,4,2,2,1
08-04-2020,5916,0,NA,NA,3,3,2,4,2,3,2,4,2,2,1
09-04-2020,6725,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
10-04-2020,7598,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
11-04-2020,8446,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
12-04-2020,9205,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
13-04-2020,10453,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
14-04-2020,11487,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
15-04-2020,12322,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
16-04-2020,13430,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
17-04-2020,14352,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
18-04-2020,15722,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
19-04-2020,17615,0,NA,NA,3,3,2,4,2,3,2,4,2,2,-4
20-04-2020,18539,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
21-04-2020,20080,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
22-04-2020,21370,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
23-04-2020,23077,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
24-04-2020,24530,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
25-04-2020,26283,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
26-04-2020,27890,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
27-04-2020,29451,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
28-04-2020,31324,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
29-04-2020,33062,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
30-04-2020,34863,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
01-05-2020,37257,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
02-05-2020,39699,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
03-05-2020,42505,0,NA,NA,3,2,2,4,2,3,2,4,2,2,-4
04-05-2020,46437,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
05-05-2020,49400,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
06-05-2020,52987,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
07-05-2020,56351,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
08-05-2020,59695,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
09-05-2020,62808,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
10-05-2020,67161,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
11-05-2020,70768,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
12-05-2020,74292,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
13-05-2020,78055,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
14-05-2020,81997,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
15-05-2020,85784,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
16-05-2020,90648,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
17-05-2020,95698,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
18-05-2020,100328,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
19-05-2020,106475,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
20-05-2020,112028,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
21-05-2020,118226,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
22-05-2020,124794,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
23-05-2020,131423,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
24-05-2020,138536,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
25-05-2020,144950,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
26-05-2020,150793,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
27-05-2020,158086,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
28-05-2020,165386,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
29-05-2020,173491,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
30-05-2020,181827,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
31-05-2020,190609,0,NA,NA,3,-2,2,-4,-2,-2,-2,4,2,2,-4
01-06-2020,198370,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
02-06-2020,207191,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
03-06-2020,216824,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
04-06-2020,226713,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
05-06-2020,236184,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
06-06-2020,246622,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
07-06-2020,257486,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
08-06-2020,265928,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
09-06-2020,276146,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
10-06-2020,286605,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
11-06-2020,297535,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
12-06-2020,308993,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
13-06-2020,320922,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
14-06-2020,332424,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
15-06-2020,343091,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
16-06-2020,354065,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
17-06-2020,366946,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
18-06-2020,380532,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
19-06-2020,395048,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
20-06-2020,410451,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
21-06-2020,425282,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
22-06-2020,440215,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
23-06-2020,456183,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
24-06-2020,473105,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
25-06-2020,490401,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
26-06-2020,508953,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
27-06-2020,528859,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
28-06-2020,548318,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
29-06-2020,566840,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
30-06-2020,585481,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
01-07-2020,604641,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
02-07-2020,625544,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
03-07-2020,648315,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
04-07-2020,673165,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
05-07-2020,697413,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
06-07-2020,719664,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
07-07-2020,742417,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
08-07-2020,767296,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
09-07-2020,793802,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
10-07-2020,820916,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
11-07-2020,849522,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
12-07-2020,878254,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
13-07-2020,906752,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
14-07-2020,936181,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
15-07-2020,968857,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
16-07-2020,1003832,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
17-07-2020,1039084,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
18-07-2020,1077781,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
19-07-2020,1118206,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
20-07-2020,1155338,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
21-07-2020,1193078,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
22-07-2020,1238798,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
23-07-2020,1288108,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
24-07-2020,1337024,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
25-07-2020,1385635,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
26-07-2020,1435616,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
27-07-2020,1480073,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
28-07-2020,1531669,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
29-07-2020,1581963,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
30-07-2020,1634746,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
31-07-2020,1695988,0,NA,NA,3,-3,2,-4,-2,2,-2,4,2,1,-4
01-08-2020,1750723,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
02-08-2020,1803695,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
03-08-2020,1855745,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
04-08-2020,1908254,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
05-08-2020,1964536,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
06-08-2020,2027074,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
07-08-2020,2088611,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
08-08-2020,2153010,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
09-08-2020,2215074,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
10-08-2020,2268675,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
11-08-2020,2329638,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
12-08-2020,2396637,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
13-08-2020,2461190,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
14-08-2020,2525922,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
15-08-2020,2589952,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
16-08-2020,2647663,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
17-08-2020,2702681,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
18-08-2020,2767253,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
19-08-2020,2836925,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
20-08-2020,2905825,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
21-08-2020,2975701,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
22-08-2020,3044940,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
23-08-2020,3106348,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
24-08-2020,3167323,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
25-08-2020,3224547,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
26-08-2020,3310234,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
27-08-2020,3387500,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
28-08-2020,3463972,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
29-08-2020,3542733,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
30-08-2020,3621245,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
31-08-2020,3691166,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
01-09-2020,3769523,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
02-09-2020,3853406,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
03-09-2020,3936747,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
04-09-2020,4023179,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
05-09-2020,4113811,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
06-09-2020,4204613,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
07-09-2020,4280422,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
08-09-2020,4370128,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
09-09-2020,4465863,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
10-09-2020,4562414,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
11-09-2020,4659984,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
12-09-2020,4754356,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
13-09-2020,4846427,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
14-09-2020,4930236,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
15-09-2020,5020359,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
16-09-2020,5118253,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
17-09-2020,5214677,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
18-09-2020,5308014,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
19-09-2020,5400619,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
20-09-2020,5487580,0,NA,NA,3,-3,2,-4,-2,-2,-2,4,2,1,-4
21-09-2020,5562663,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
22-09-2020,5646010,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
23-09-2020,5732518,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
24-09-2020,5818570,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
25-09-2020,5903932,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
26-09-2020,5992532,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
27-09-2020,6074702,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
28-09-2020,6145291,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
29-09-2020,6225763,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
30-09-2020,6312584,0,NA,NA,-3,-3,2,-4,-2,-2,-2,4,2,1,-4
01-10-2020,6394068,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
02-10-2020,6473544,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
03-10-2020,6549373,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
04-10-2020,6623815,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
05-10-2020,6685082,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
06-10-2020,6757131,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
07-10-2020,6835655,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
08-10-2020,6906151,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
09-10-2020,6979423,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
10-10-2020,7053806,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
11-10-2020,7120538,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
12-10-2020,7175880,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
13-10-2020,7239389,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
14-10-2020,7307097,0,NA,NA,-2,-2,2,-4,1,-2,-2,4,2,2,-4
15-10-2020,7370468,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
16-10-2020,7432680,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
17-10-2020,7494551,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
18-10-2020,7550273,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
19-10-2020,7597063,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
20-10-2020,7651107,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
21-10-2020,7706946,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
22-10-2020,7761312,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
23-10-2020,7814682,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
24-10-2020,7864811,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
25-10-2020,7909959,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
26-10-2020,7946429,0,NA,NA,-1,-2,2,-2,1,-2,-2,4,2,2,-4
27-10-2020,7990322,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
28-10-2020,8040203,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
29-10-2020,8088851,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
30-10-2020,8137119,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
31-10-2020,8184082,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
01-11-2020,8229313,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
02-11-2020,8267623,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
03-11-2020,8313876,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
04-11-2020,8364086,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
05-11-2020,8411724,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
06-11-2020,8462080,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
07-11-2020,8507754,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
08-11-2020,8553657,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
09-11-2020,8591730,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
10-11-2020,8636011,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
11-11-2020,8683916,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
12-11-2020,8728795,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
13-11-2020,8773479,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
14-11-2020,8814579,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
15-11-2020,8845127,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
16-11-2020,8874290,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
17-11-2020,8912907,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
18-11-2020,8958483,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
19-11-2020,9004365,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
20-11-2020,9050597,0,NA,NA,-1,-2,2,-2,1,-2,-2,3,2,2,-4
21-11-2020,9095806,0,NA,NA,-3,-2,-2,-4,1,-2,1,3,2,2,-4
22-11-2020,9139865,0,NA,NA,-3,-2,-2,-4,1,-2,1,3,2,2,-4
23-11-2020,9177840,0,NA,NA,-3,-2,-2,-4,1,-2,1,3,2,2,-4
24-11-2020,9222216,0,NA,NA,-3,-2,-2,-4,1,-2,1,3,2,2,-4
25-11-2020,9266705,0,NA,NA,-3,-2,-2,-4,1,-2,1,3,2,2,-4
